name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
K.LamThaMenChai,กิ่งลำทะเมนชัย,72.82237681159421,69.0,32.0,30,NakhonRatchasima,นครราชสีมา
Sikhiu,สีคิ้ว,72.07356586021506,744.0,181.0,31,NakhonRatchasima,นครราชสีมา
NonThai,โนนไทย,70.52442790697675,215.0,56.0,32,NakhonRatchasima,นครราชสีมา
MuangKhonKaen,เมืองขอนแก่น,462.0612647743486,13317.0,561.0,1,KhonKaen,ขอนแก่น
Phon,พล,439.29215759849905,533.0,69.0,2,KhonKaen,ขอนแก่น
BanPhai,บ้านไผ่,191.715822122571,669.0,104.0,3,KhonKaen,ขอนแก่น
K.SamSung,กิ่งซำสูง,152.8690588235294,34.0,10.0,4,KhonKaen,ขอนแก่น
WaengYai,แวงใหญ่,137.55620833333333,48.0,13.0,5,KhonKaen,ขอนแก่น
SiChomphu,สีชมพู,121.84145930232559,172.0,38.0,6,KhonKaen,ขอนแก่น
NamPhong,น้ำพอง,117.28607246376811,345.0,92.0,7,KhonKaen,ขอนแก่น
Chonnabot,ชนบท,117.11864516129032,62.0,20.0,8,KhonKaen,ขอนแก่น
ChumPhae,ชุมแพ,113.68551396648044,716.0,104.0,9,KhonKaen,ขอนแก่น
KhaoSuanKwang,เขาสวนกวาง,104.27254716981132,53.0,16.0,10,KhonKaen,ขอนแก่น
ManchaKhiri,มัญจาคีรี,103.21497159090909,176.0,38.0,11,KhonKaen,ขอนแก่น
K.NongNaKham,กิ่งหนองนาคำ,98.47906451612903,31.0,14.0,12,KhonKaen,ขอนแก่น
NongSongHong,หนองสองห้อง,93.91021678321678,143.0,44.0,13,KhonKaen,ขอนแก่น
UbolRatana,อุบลรัตน์,92.1447159090909,176.0,43.0,14,KhonKaen,ขอนแก่น
K.NonSila,กิ่งโนนศิลา,85.71973170731707,41.0,19.0,15,KhonKaen,ขอนแก่น
BanFang,บ้านฝาง,85.18987931034482,116.0,43.0,16,KhonKaen,ขอนแก่น
