name_en,name_th,avg_d_mbps,total_tests,n_tiles,rank,province_en,province_th
K.SamSung,กิ่งซำสูง,258.69661904761904,42.0,21.0,16,KhonKaen,ขอนแก่น
NongSongHong,หนองสองห้อง,252.79953012048193,166.0,53.0,17,KhonKaen,ขอนแก่น
PhuWiang,ภูเวียง,250.79126046511627,215.0,70.0,18,KhonKaen,ขอนแก่น
KhaoSuanKwang,เขาสวนกวาง,245.07522033898306,118.0,30.0,19,KhonKaen,ขอนแก่น
WiangKao,ภูเวียง,239.64982608695652,23.0,13.0,20,KhonKaen,ขอนแก่น
UbolRatana,อุบลรัตน์,228.7798937007874,254.0,59.0,21,KhonKaen,ขอนแก่น
Chonnabot,ชนบท,228.76753273809524,336.0,56.0,22,KhonKaen,ขอนแก่น
K.BanHaet,กิ่งบ้านแฮด,220.13660714285714,112.0,36.0,23,KhonKaen,ขอนแก่น
NamPhong,น้ำพอง,203.91003237410072,834.0,148.0,24,KhonKaen,ขอนแก่น
PhupaMan,ภูผาม่าน,174.6948435114504,262.0,41.0,25,KhonKaen,ขอนแก่น
PuaiNoi,เปือยน้อย,165.48222727272727,22.0,9.0,26,KhonKaen,ขอนแก่น
SanKamphaeng,สันกำแพง,354.139653188929,4155.0,268.0,1,ChiangMai,เชียงใหม่
Saraphi,สารภี,348.59750369778135,5003.0,252.0,2,ChiangMai,เชียงใหม่
HangDong,หางดง,347.204251940083,5541.0,313.0,3,ChiangMai,เชียงใหม่
SanSai,สันทราย,343.89568752295827,8167.0,411.0,4,ChiangMai,เชียงใหม่
DoiSaket,ดอยสะเก็ด,331.1479081094652,3983.0,327.0,5,ChiangMai,เชียงใหม่
MaeAi,แม่อาย,297.03900338983055,885.0,144.0,6,ChiangMai,เชียงใหม่
MaeRim,แม่ริม,296.4567970749543,4923.0,367.0,7,ChiangMai,เชียงใหม่
ChaiPrakarn,ไชยปราการ,295.53792153846155,650.0,87.0,8,ChiangMai,เชียงใหม่
Fang,ฝาง,290.8900126582279,1738.0,257.0,9,ChiangMai,เชียงใหม่
SanPaTong,สันป่าตอง,280.0282790055249,1448.0,220.0,10,ChiangMai,เชียงใหม่
MuangChiangMai,เมืองเชียงใหม่,274.3441186572352,24457.0,329.0,11,ChiangMai,เชียงใหม่
K.MaeOn,กิ่งแม่ออน,259.58836626139816,658.0,65.0,12,ChiangMai,เชียงใหม่
MaeWang,แม่วาง,258.86359426229507,488.0,81.0,13,ChiangMai,เชียงใหม่
Phrao,พร้าว,245.88986180904521,398.0,80.0,14,ChiangMai,เชียงใหม่
WiangHaeng,เวียงแหง,238.3517266881029,311.0,33.0,15,ChiangMai,เชียงใหม่
MaeTaeng,แม่แตง,237.93935548917102,1339.0,235.0,16,ChiangMai,เชียงใหม่
ChiangDao,เชียงดาว,235.55317431192663,1308.0,202.0,17,ChiangMai,เชียงใหม่
K.DoiLo,กิ่งดอยหล่อ,209.16391194968554,477.0,79.0,18,ChiangMai,เชียงใหม่
ChomThong,จอมทอง,202.78690798045602,1228.0,121.0,19,ChiangMai,เชียงใหม่
DoiTao,ดอยเต่า,174.6987441860465,129.0,22.0,20,ChiangMai,เชียงใหม่
Samoeng,สะเมิง,169.4336064257028,498.0,45.0,21,ChiangMai,เชียงใหม่
Hot,ฮอด,150.32716017316017,462.0,57.0,22,ChiangMai,เชียงใหม่
MaeChaem,แม่แจ่ม,149.02235216572507,1062.0,83.0,23,ChiangMai,เชียงใหม่
Omkoi,อมก๋อย,78.57981492109039,697.0,36.0,24,ChiangMai,เชียงใหม่
Thalang,ถลาง,290.9324161201106,12655.0,408.0,1,Phuket,ภูเก็ต
MuangPhuket,เมืองภูเก็ต,288.906575035868,20910.0,363.0,2,Phuket,ภูเก็ต
Kathu,กะทู้,243.63572638614949,9126.0,124.0,3,Phuket,ภูเก็ต
PhanThong,พานทอง,367.0656377445932,3884.0,262.0,1,ChonBuri,ชลบุรี
SiRacha,ศรีราชา,357.8181967113612,18123.0,831.0,2,ChonBuri,ชลบุรี
MuangChonBuri,เมืองชลบุรี,350.60162018282125,24833.0,563.0,3,ChonBuri,ชลบุรี
K.KoChan,กิ่งเกาะจันทร์,343.11712933753944,634.0,109.0,4,ChonBuri,ชลบุรี
BanBung,บ้านบึง,334.9760795354952,4564.0,445.0,5,ChonBuri,ชลบุรี
Sattahip,สัตหีบ,326.40143131772106,8583.0,413.0,6,ChonBuri,ชลบุรี
PhanatNikhom,พนัสนิคม,319.9683587459922,2807.0,400.0,7,ChonBuri,ชลบุรี
NongYai,หนองใหญ่,313.02131904761904,630.0,118.0,8,ChonBuri,ชลบุรี
