network_type,type,hour_local,is_weekend,n_tests,n_ips,med_mbps,p25_mbps,p10_mbps,mean_mbps,med_rtt,mean_rtt,mean_loss
broadband,upload,14,False,492610,149974,22.02418358931477,6.74604910014228,1.3413816694258622,44.67855995531381,142.48090262245265,130.2844859541491,0.0
broadband,upload,15,False,401641,195221,22.58341171704544,6.7422797992143195,1.2857602303814875,46.933178401073015,105.05705648377008,128.9285334132058,0.0
broadband,upload,16,False,409147,164630,23.201012904489332,6.882914235351555,1.3729290455137246,47.81391748430387,111.60642649355513,129.22208166113768,0.0
broadband,upload,17,False,272736,122963,21.937182169992763,6.549655961402894,1.3440533906068726,44.34702120426669,82.3959683537147,127.39605541334453,0.0
broadband,upload,18,False,263676,115037,19.82872386813429,5.868162817266103,1.3351152248395997,40.02623378477942,91.68620119102734,130.38873482710468,0.0
broadband,upload,19,False,285702,170042,18.373115283181516,4.682876249849612,0.9880075721973225,38.20572877670854,90.96072851175643,129.69252194249282,0.0
broadband,upload,20,False,294070,147454,18.246313546135212,4.212945760687381,0.6867915810337071,40.43723858319531,88.69118777829254,130.07190495256285,0.0
broadband,upload,21,False,313344,182492,19.665491436181586,4.484956204111835,0.7250713694896972,43.62857998648062,84.02963447647768,128.15750031766137,0.0
broadband,upload,22,False,277122,125356,20.810577187542503,5.237976427762552,0.9692090666671608,45.34081021554021,78.9213872406078,126.41858551740823,0.0
broadband,upload,23,False,193745,104785,21.458546947560258,6.0406225308738,1.2530615397674265,42.688392001861644,77.73149668981513,127.97718471969075,0.0
broadband,upload,0,True,65401,28340,19.24754300276868,5.98067398725178,1.4449252193570143,37.75162815491643,108.53568373725456,134.0513259722585,0.0
broadband,upload,1,True,45420,22296,20.835137438491152,6.483621948604528,1.5467129304748999,41.17833742108838,89.21449418596237,132.32636433494045,0.0
broadband,upload,2,True,37510,14362,20.063338809661182,5.775639428616041,1.2248836261192577,38.18347969102222,83.92313470518525,131.9361423429668,0.0
broadband,upload,3,True,32329,14206,19.675331601041325,5.694816631602496,1.3245650731210086,36.886235567064006,140.48988733013726,137.12584398589277,0.0
broadband,upload,4,True,36063,10405,20.328553850688127,6.496696158449348,1.524131902970089,36.09306917797499,170.3474470069871,136.84577534041432,0.0
broadband,upload,5,True,65769,27006,27.42652082965403,9.489510310850125,2.229876915373839,60.325235911447194,115.43406139353768,129.69689651344893,0.0
broadband,upload,6,True,52308,21703,22.236988248793793,8.208618073259855,2.0457627136774974,39.8752802109704,77.44961055530639,128.47477152798993,0.0
broadband,upload,7,True,170226,56649,26.121626929434196,9.920428248845692,2.5202109333370593,49.087966502446996,151.9599638951614,128.96178286002976,0.0
broadband,upload,8,True,252626,72722,23.224784625237373,8.086142302072627,1.98707653728774,44.41864021581791,167.87622534783458,130.66351539478566,0.0
broadband,upload,9,True,327420,123595,23.20009716209002,7.7888377193544,1.667823980134508,45.02288711548813,169.70529297008713,131.88073196610563,0.0
broadband,upload,10,True,338096,80459,23.461767770448233,7.518502653978012,1.5525933432469998,46.41065257553753,168.06326128618585,130.7151004276721,0.0
broadband,upload,11,True,310585,115543,24.49913833103945,7.8946010562684865,1.6113731175589974,47.89228298883008,168.7683211210421,131.8330304716107,0.0
broadband,upload,12,True,209555,89828,22.67225558976223,7.238975241840499,1.4488395921954453,44.4850165000148,139.9428979371131,131.7256298736355,0.0
broadband,upload,13,True,200168,113059,21.819271391470505,6.618704538995382,1.2339602994035537,44.18146885389154,156.10244970670433,132.46772237481306,0.0
broadband,upload,14,True,186852,101400,22.40854290633996,6.9684325996595184,1.2587644086406082,44.618468514370534,133.1269167934735,131.3888077444451,0.0
broadband,upload,15,True,155117,91827,23.396558010710823,7.054945352349852,1.235371865202942,46.74470215151886,99.39219773115444,129.2955931056283,0.0
broadband,upload,16,True,160342,102500,23.63607889153125,7.666106819664214,1.6010000204542367,48.04000872665563,102.22302086150945,128.56678125604685,0.0
broadband,upload,17,True,106675,60050,21.976663388731467,6.93068163762093,1.356996837488903,44.38266435684563,84.36648589203311,127.6204210985342,0.0
