country,quarter,nat_Voice,cap_Voice,nat_Video HD,cap_Video HD,nat_Video UHD,cap_Video UHD,nat_Cloud gaming,cap_Cloud gaming
Philippines,2025Q3,100.0,100.0,100.0,100.0,100.0,100.0,82.55913223827812,81.26079578676409
Philippines,2025Q4,100.0,100.0,100.0,100.0,100.0,100.0,78.55335299344664,77.95070932226949
Singapore,2024Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2024Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2024Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2024Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2025Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Singapore,2025Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Thailand,2024Q1,100.0,100.0,100.0,100.0,100.0,100.0,91.15228400443306,78.2535825662335
Thailand,2024Q2,100.0,100.0,100.0,100.0,100.0,100.0,94.78043467109264,88.83063938343774
Thailand,2024Q3,100.0,100.0,100.0,100.0,100.0,100.0,93.10610703737487,86.43169277764406
Thailand,2024Q4,100.0,100.0,100.0,100.0,100.0,100.0,98.27847561632393,96.35379700477945
Thailand,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Thailand,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Thailand,2025Q3,100.0,100.0,100.0,100.0,100.0,100.0,99.56361921400698,100.0
Thailand,2025Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Vietnam,2024Q1,100.0,100.0,100.0,100.0,86.11287666923288,78.8700424156956,48.9277708347914,44.81252409982704
Vietnam,2024Q2,100.0,100.0,100.0,100.0,100.0,100.0,75.02879585772783,62.86824422833255
Vietnam,2024Q3,100.0,100.0,100.0,100.0,100.0,100.0,65.46386393902526,58.034564578835635
Vietnam,2024Q4,100.0,100.0,100.0,100.0,100.0,100.0,68.17346367569506,69.21386646008688
Vietnam,2025Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.80313520140506
Vietnam,2025Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,92.17354879391036
Vietnam,2025Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,93.93549389403174
Vietnam,2025Q4,100.0,100.0,100.0,100.0,100.0,100.0,93.79022462923757,81.56547573642806
